date_id;CO₂-Emissionsfaktor des Strommix;Strompreis
527;548.2419728;61.8
528;548.0914109;60.2
529;544.2022358;59.49
530;546.9886691;60.87
531;547.574322;54.7
532;550.9738101;53.76
533;547.5664253;61.8
534;548.3332095;57.81
535;549.7903765;50
536;552.1324617;52.7
537;548.281196;53.51
538;546.8963874;51.22
539;551.5029193;52.66
540;555.362777;51.26
541;557.6016108;48.97
542;553.6494595;51.77
543;559.0942568;50.55
544;560.6842403;55.22
545;559.967588;44.87
546;557.4979808;48.8
547;551.4835887;59.02
548;540.9632673;66
549;534.1767801;54.1
550;529.5993827;56.88
551;529.5689862;64.35
552;526.7772868;66.27
553;526.7378672;68.96
554;528.7013655;66.37
555;530.7808412;64.17
556;532.7941141;61.7
557;528.6928897;68.4
558;532.9835055;66.61
559;535.8884402;58.6
560;538.9309339;54.22
561;545.6510573;72.15
562;549.579595;63.71
563;556.2872122;51.9
564;559.3246396;47.2
565;553.6113899;60.32
566;554.8559551;58.24
567;557.0561503;51.9
568;558.3928841;50.54
569;552.4920307;66.08
570;561.7635923;57.62
571;562.3375812;48.4
572;565.5111864;38.1
573;575.3692274;62.38
574;578.1567622;53.96
575;581.506799;41.7
576;591.6124406;33.61
577;588.5061141;54.68
578;591.5637828;48
579;589.8251852;42.93
580;593.7781579;35
581;582.7200237;49.3
582;583.6415852;43.37
583;582.6030668;40.11
584;583.1764094;39.89
585;575.649476;48.6
586;574.1601231;42
587;574.1911393;42
588;575.8193047;39.4
589;570.0457685;44.1
590;567.9890092;38.01
591;566.8112;37.88
592;568.0238549;41.78
593;560.522912;40.5
594;560.7331492;38.33
595;557.1168092;43.64
596;554.8973186;47.1
597;554.2489461;35.03
598;556.7417926;35.63
599;552.5976614;48.7
600;551.5677047;58.39
601;547.144723;30.5
602;541.1783903;47.41
603;538.8788576;69.15
604;535.9520095;79.7
605;539.3049034;44.25
606;531.7022741;62.94
607;530.8275352;78.56
608;530.8860413;86.64
609;542.5501917;66.6
610;539.4042065;72.22
611;542.4436799;75.58
612;542.597348;78.8
613;546.3875355;72
614;544.0855759;72.36
615;542.5426408;77.35
616;542.0730221;78.08
617;535.1286854;74.9
618;534.8609196;74
619;538.2558064;76.51
620;534.5862559;75.27
621;529.6364062;70.62
622;525.7540332;76.33
623;526.046966;76.31
624;523.8355483;78.13
625;519.0821337;71.81
626;517.1182458;72.74
627;511.6544483;75.24
628;513.2734672;76.6
629;504.0246122;74.1
630;499.5046698;76.47
631;501.6177364;70.77
632;504.3657076;68.75
633;496.7711023;70.33
634;493.6184553;71.61
635;496.8459938;73.02
636;500.0167598;72.1
637;493.0164446;72.74
638;495.569263;72.02
639;494.2370516;71.62
640;489.0081943;70.42
641;490.0880389;71.48
642;486.190039;68.35
643;479.9363734;73.25
